country_id,Name,pub,Genre
608,Philippines,Electronic Arts,Action
585,Palau,Electronic Arts,Action
598,Papua New Guinea,Electronic Arts,Action
616,Poland,Nintendo,Action
630,Puerto Rico,Electronic Arts,Action
408,"Korea, Dem. Rep.",Electronic Arts,Action
620,Portugal,Nintendo,Action
600,Paraguay,Electronic Arts,Action
275,Palestine (West Bank and Gaza),Electronic Arts,Action
258,French Polynesia,Electronic Arts,Action
634,Qatar,Electronic Arts,Action
642,Romania,Nintendo,Action
643,Russian Federation,Electronic Arts,Action
646,Rwanda,Electronic Arts,Action
682,Saudi Arabia,Electronic Arts,Action
729,Sudan,Electronic Arts,Action
686,Senegal,Electronic Arts,Action
702,Singapore,Electronic Arts,Action
239,South Georgia and the Islands,Electronic Arts,Action
654,St. Helena,Electronic Arts,Action
90,Solomon Islands,Electronic Arts,Action
694,Sierra Leone,Electronic Arts,Action
222,El Salvador,Nintendo,Action
674,San Marino,Electronic Arts,Action
706,Somalia,Electronic Arts,Action
666,St. Pierre and Miquelon,Electronic Arts,Action
688,Serbia,Electronic Arts,Action
728,South Sudan,Electronic Arts,Action
678,São Tomé and Principe,Electronic Arts,Action
740,Suriname,Electronic Arts,Action
703,Slovak Republic,Electronic Arts,Action
705,Slovenia,Nintendo,Action
752,Sweden,Nintendo,Action
748,Swaziland,Electronic Arts,Action
534,St. Maarten (Dutch part),Electronic Arts,Action
690,Seychelles,Electronic Arts,Action
760,Syrian Arab Republic,Electronic Arts,Action
796,Turks and Caicos Islands,Electronic Arts,Action
148,Chad,Electronic Arts,Action
768,Togo,Electronic Arts,Action
764,Thailand,Electronic Arts,Action
762,Tajikistan,Electronic Arts,Action
795,Turkmenistan,Electronic Arts,Action
626,Timor-Leste,Electronic Arts,Action
776,Tonga,Electronic Arts,Action
780,Trinidad and Tobago,Electronic Arts,Action
788,Tunisia,Electronic Arts,Action
792,Turkey,Electronic Arts,Action
158,Taiwan,Electronic Arts,Action
834,Tanzania,Electronic Arts,Action
800,Uganda,Electronic Arts,Action
804,Ukraine,Electronic Arts,Action
858,Uruguay,Electronic Arts,Action
840,United States of America,Nintendo,Action
860,Uzbekistan,Electronic Arts,Action
336,Vatican (Holy Sea),Electronic Arts,Action
670,St. Vincent and the Grenadines,Electronic Arts,Action
862,"Venezuela, RB",Electronic Arts,Action
92,British Virgin Islands,Electronic Arts,Action
850,Virgin Islands (U.S.),Electronic Arts,Action
704,Vietnam,Electronic Arts,Action
548,Vanuatu,Electronic Arts,Action
876,Wallis and Futuna,Electronic Arts,Action
882,Samoa,Electronic Arts,Action
887,"Yemen, Rep.",Electronic Arts,Action
710,South Africa,Electronic Arts,Action
894,Zambia,Electronic Arts,Action
716,Zimbabwe,Electronic Arts,Action
